Time,Wind Speed (mph),Wind Gust (mph),Wind Direction (degrees)
2025-05-23T04:15:12.000Z,10.00,11.00,279
2025-05-23T04:30:15.000Z,8.00,11.00,256
2025-05-23T04:45:16.000Z,6.00,10.00,316
2025-05-23T05:00:16.000Z,8.00,10.00,221
2025-05-23T05:15:31.000Z,10.00,12.00,231
2025-05-23T05:30:31.000Z,0.00,7.00,123
2025-05-23T05:45:34.000Z,2.00,7.00,297
2025-05-23T06:00:37.000Z,5.00,8.00,302
2025-05-23T06:15:37.000Z,6.00,9.00,288
2025-05-23T06:30:38.000Z,2.00,4.00,259
2025-05-23T06:45:39.000Z,0.00,7.00,265
2025-05-23T07:00:41.000Z,3.00,5.00,244
2025-05-23T07:15:54.000Z,3.00,5.00,107
2025-05-23T07:30:57.000Z,3.00,6.00,337
2025-05-23T07:45:58.000Z,2.00,4.00,294
2025-05-23T08:00:59.000Z,1.00,4.00,292
2025-05-23T08:15:02.000Z,3.00,7.00,283
2025-05-23T08:30:03.000Z,4.00,12.00,302
2025-05-23T08:45:03.000Z,12.00,13.00,281
2025-05-23T09:00:05.000Z,7.00,16.00,253
2025-05-23T09:15:18.000Z,2.00,9.00,288
2025-05-23T09:30:19.000Z,2.00,11.00,318
2025-05-23T09:45:22.000Z,2.00,5.00,11
2025-05-23T10:00:26.000Z,1.00,4.00,326
2025-05-23T10:15:28.000Z,3.00,7.00,306
2025-05-23T10:30:32.000Z,6.00,13.00,298
2025-05-23T11:00:37.000Z,2.00,5.00,298
2025-05-23T11:15:50.000Z,4.00,9.00,296
2025-05-23T11:30:53.000Z,6.00,,97
2025-05-23T11:45:57.000Z,3.00,4.00,283
2025-05-23T12:01:00.000Z,9.00,16.00,275
2025-05-23T12:15:01.000Z,5.00,12.00,267
2025-05-23T12:30:02.000Z,8.00,16.00,273
2025-05-23T12:45:02.000Z,5.00,14.00,278
2025-05-23T13:00:03.000Z,5.00,9.00,273
2025-05-23T13:15:15.000Z,4.00,6.00,286
2025-05-23T13:30:15.000Z,5.00,9.00,317
2025-05-23T13:45:16.000Z,2.00,7.00,327
2025-05-23T14:00:17.000Z,0.00,3.00,289
2025-05-23T14:15:17.000Z,2.00,5.00,119
2025-05-23T14:30:18.000Z,0.00,7.00,128
2025-05-23T14:45:18.000Z,2.00,7.00,76
2025-05-23T15:00:18.000Z,1.00,8.00,142
2025-05-23T15:15:30.000Z,5.00,7.00,92
2025-05-23T15:30:30.000Z,3.00,8.00,119
2025-05-23T15:45:47.000Z,2.00,10.00,172
2025-05-23T16:00:48.000Z,7.00,9.00,89
2025-05-23T16:15:49.000Z,7.00,8.00,80
2025-05-23T16:30:51.000Z,3.00,6.00,71
2025-05-23T16:45:52.000Z,2.00,9.00,34
2025-05-23T17:00:53.000Z,5.00,9.00,19
2025-05-23T17:15:54.000Z,1.00,10.00,347
2025-05-23T17:30:55.000Z,1.00,8.00,102
2025-05-23T17:45:07.000Z,2.00,5.00,115
2025-05-23T18:00:08.000Z,5.00,13.00,93
2025-05-23T18:15:10.000Z,7.00,9.00,94
2025-05-23T18:30:10.000Z,3.00,9.00,103
2025-05-23T18:45:12.000Z,1.00,9.00,90
2025-05-23T19:00:15.000Z,3.00,8.00,93
2025-05-23T19:15:17.000Z,2.00,3.00,59
2025-05-23T19:30:18.000Z,3.00,7.00,57
2025-05-23T19:45:31.000Z,1.00,4.00,89
2025-05-23T20:00:31.000Z,1.00,5.00,180
2025-05-23T20:15:34.000Z,3.00,5.00,202
2025-05-23T20:30:34.000Z,2.00,6.00,157
2025-05-23T20:45:36.000Z,3.00,5.00,261
2025-05-23T21:00:37.000Z,1.00,3.00,123
2025-05-23T21:15:40.000Z,2.00,5.00,329
2025-05-23T21:30:45.000Z,5.00,6.00,37
2025-05-23T21:45:59.000Z,5.00,8.00,32
2025-05-23T22:00:01.000Z,5.00,11.00,21
2025-05-23T22:15:03.000Z,5.00,9.00,47
2025-05-23T22:30:04.000Z,7.00,10.00,340
2025-05-23T22:45:05.000Z,9.00,15.00,19
2025-05-23T23:00:09.000Z,6.00,16.00,315
2025-05-23T23:15:11.000Z,4.00,13.00,304
2025-05-23T23:30:14.000Z,5.00,10.00,340
2025-05-23T23:45:26.000Z,5.00,9.00,300
2025-05-24T00:00:27.000Z,4.00,7.00,271
2025-05-24T00:30:27.000Z,4.00,10.00,315
2025-05-24T00:45:30.000Z,8.00,11.00,302
2025-05-24T01:00:30.000Z,4.00,8.00,283
2025-05-24T01:15:33.000Z,2.00,5.00,312
2025-05-24T01:30:35.000Z,2.00,6.00,311
2025-05-24T01:45:37.000Z,3.00,5.00,349
2025-05-24T02:00:41.000Z,2.00,6.00,348
2025-05-24T02:15:44.000Z,4.00,6.00,317
2025-05-24T02:30:00.000Z,9.00,16.00,32
2025-05-24T02:45:04.000Z,3.00,9.00,360
2025-05-24T03:00:08.000Z,5.00,9.00,355
2025-05-24T03:15:12.000Z,4.00,8.00,309
2025-05-24T03:30:15.000Z,6.00,12.00,304
2025-05-24T04:11:54.199Z,,,null